"","stcd2","cycle","stateabrev","stcd","dem_share","dem_share_imputed","dpres","incumb","winner_dem","uncontested","votes_dem","votes_rep","votes_dem_est","votes_rep_est","chamber"
"136","1970s_1406",1972,"IN","1406",0.35179584665457,0.35179584665457,26.37,-1,0,0,61070,112525,61070,112525,"us_house"
"137","1970s_1407",1972,"IN","1407",0.38377555271437,0.38377555271437,34.96,-1,0,0,80145,128688,80145,128688,"us_house"
"138","1970s_1408",1972,"IN","1408",0.366303539894234,0.366303539894234,34.77,-1,0,0,77371,133850,77371,133850,"us_house"
"139","1970s_1409",1972,"IN","1409",0.629146305820339,0.629146305820339,36.36,1,1,0,122698,72325,122698,72325,"us_house"
"140","1970s_1410",1972,"IN","1410",0.427522325975321,0.427522325975321,30.6,-1,0,0,79756,106798,79756,106798,"us_house"
"141","1970s_1411",1972,"IN","1411",0.487702924464258,0.487702924464258,33.67,1,0,0,91238,95839,91238,95839,"us_house"
"142","1970s_1601",1972,"KS","1601",0.218241321959333,0.218241321959333,28.04,-1,0,0,40678,145712,40678,145712,"us_house"
"143","1970s_1602",1972,"KS","1602",0.609192107948227,0.609192107948227,30,1,1,0,106276,68178,106276,68178,"us_house"
"144","1970s_1603",1972,"KS","1603",0.253937224829314,0.253937224829314,33.38,-1,0,0,43777,128616,43777,128616,"us_house"
"145","1970s_1604",1972,"KS","1604",0.253324050648648,0.253324050648648,32.02,-1,0,0,40753,120120,40753,120120,"us_house"
"146","1970s_1605",1972,"KS","1605",0.276528615135427,0.276528615135427,28.81,-1,0,0,49169,128639,49169,128639,"us_house"
"147","1970s_1701",1972,"KY","1701",0.658272858043348,0.658272858043348,37.3,1,1,0,81456,42286,81456,42286,"us_house"
"148","1970s_1702",1972,"KY","1702",0.615301645486469,0.615301645486469,34.68,1,1,0,75871,47436,75871,47436,"us_house"
"149","1970s_1703",1972,"KY","1703",0.627040536245702,0.627040536245702,44.95,1,1,0,86810,51634,86810,51634,"us_house"
"150","1970s_1704",1972,"KY","1704",0.261804917661781,0.261804917661781,29.55,-1,0,0,39332,110902,39332,110902,"us_house"
"151","1970s_1705",1972,"KY","1705",0.26453740786861,0.26453740786861,27.32,-1,0,0,39301,109264,39301,109264,"us_house"
"152","1970s_1706",1972,"KY","1706",0.528339701935546,0.528339701935546,33.42,0,1,0,76185,68012,76185,68012,"us_house"
"153","1970s_1707",1972,"KY","1707",0.619359220511213,0.619359220511213,41.87,1,1,0,94840,58286,94840,58286,"us_house"
"154","1970s_1801",1972,"LA","1801",NA,0.627847447252732,29.2,1,1,1,0,0,78736.0409883706,46670.2839603019,"us_house"
"155","1970s_1802",1972,"LA","1802",NA,0.697218761862661,40.19,1,1,1,0,0,74902.8393958317,32528.0610517185,"us_house"
"156","1970s_1803",1972,"LA","1803",0.459847581129237,0.459847581129237,23.61,0,0,0,60521,71090,60521,71090,"us_house"
"157","1970s_1804",1972,"LA","1804",NA,0.59834040516282,24.55,1,1,1,0,0,86210.4493260106,57872.1641531026,"us_house"
"158","1970s_1805",1972,"LA","1805",NA,0.607062902604762,26.63,1,1,1,0,0,90422.3097455576,58528.1686275683,"us_house"
"159","1970s_1806",1972,"LA","1806",NA,0.614072389117215,30.33,1,1,1,0,0,110929.633311655,69716.2242087043,"us_house"
